cf:abstraction,cf:achromatic,cf:adaptive_or_medical_equipment,cf:adult,cf:african,cf:african_american,cf:aggression,cf:airplane,cf:airport,cf:alcoholic_drinks,cf:alone,cf:anger,cf:animal,cf:animal_averted_eyes,cf:animal_direct_eyes,cf:animal_eyes,cf:art,cf:asian,cf:asymmetrical,cf:bar,cf:bathroom,cf:bdsm,cf:beach,cf:bedroom,cf:bird,cf:bisexual,cf:blood,cf:blue,cf:blurred,cf:boat_ship,cf:books,cf:bridge,cf:buildings,cf:cars,cf:caucasian,cf:cemetery,cf:child,cf:church,cf:cigarettes,cf:circular,cf:color,cf:combat,cf:containers,cf:coworkers,cf:crowd,cf:cuts_wounds_mutilation_etc,cf:dam,cf:danger,cf:deceased_animals,cf:deceased_humans,cf:desert,cf:details,cf:dining,cf:dining_room,cf:disabled,cf:disgust,cf:domestic_animal,cf:drugs,cf:elder,cf:family,cf:fear,cf:female,cf:fetishes,cf:filtered,cf:fish,cf:flowers,cf:flying_bird,cf:food,cf:forest,cf:friends,cf:furniture,cf:gambling,cf:green,cf:gym_exercise_equipment,cf:happy,cf:heterosexual,cf:high_fashion,cf:hispanic,cf:homosexual,cf:honoraria,cf:hospital,cf:human,cf:human_averted_eyes,cf:human_direct_eyes,cf:human_eyes,cf:individual_athletics,cf:indoors,cf:infant,cf:insects,cf:jewelry,cf:kissing,cf:kitchen,cf:large_equipment,cf:lights_lighting,cf:likes,cf:living_room,cf:luggage,cf:makeup,cf:male,cf:man_made,cf:mirrors_glass,cf:moon,cf:mosque,cf:motorcycles,cf:mountain,cf:movement,cf:museum,cf:musical_instruments,cf:mystery,cf:native_american,cf:nature,cf:negative_space,cf:night,cf:night_life,cf:non_domestic_animal,cf:non_religious_spiritual_activities,cf:nudity,cf:ocean,cf:pair,cf:park,cf:pet,cf:piercings,cf:primary_color,cf:rain,cf:red,cf:reflection,cf:religious_activities,cf:religious_icons,cf:reptiles,cf:restaurant,cf:river,cf:road_freeway,cf:rocks,cf:romantic,cf:rural,cf:sadness,cf:scatological,cf:sex,cf:shading,cf:shopping,cf:siblings,cf:significant_other,cf:sky,cf:snow,cf:southeast_asian,cf:speed,cf:sports_or_recreational_equipment,cf:stadiums_arenas,cf:stars,cf:storm,cf:strangers,cf:suburban,cf:sunset,cf:surprise,cf:symmetrical,cf:tattoos,cf:team_sports,cf:technological_equipment,cf:teenager,cf:temple,cf:texture,cf:theater,cf:tools,cf:transgender,cf:trees,cf:urban,cf:vehicle,cf:vista,cf:water,cf:weapons,cf:whole,cf:young_adult
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-0.5,0,0,0,0,0,0,0,0,0,0,-0.5,0,0,0,0,0,0,0.5,-0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5,0,0,-0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0,0,0,0,0,0,0,0.75,0,0,0,-0.75,0.75,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.5,1,0,1,0,0,0,0.75,1,0,0,0,0,0,0.75,0,0,0,0,0,0,0.5,0,0.75,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.5,0,0,1,0,1,1,0,0,0,0,0,1,0.75,0,0,-0.5,0.75,0,0,1,0,0,0,0,0,0.75,0,0,0,0,0,0,0.5,0,0,0,0.75,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.75,0,0,1,0,0,-0.75,0,0.5,0,1,1,0,0,0
-1,0,-0.25,0,0,-0.5,0,0,0,0,-1,0,0,0,0,0,0,0,-0.75,0,0,0,-0.5,0,0,0,0,0,-1,0,0,0,0,-0.5,-0.5,0,0,0,0,-0.75,-0.75,0,0,0,-0.5,0,0,-1,0,0,0,-0.5,0,0,0,0,0,0,0,0,-1,-1,0,-1,0,-0.5,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,-1,0,-1,-1,-1,0,0,0,0,0,0,0,-1,0,0,0,0,-0.5,-0.75,-1,0,0,0,0,-1,0,0,-1,0,-1,-1,0,0,0,-0.5,0,-1,-0.75,-0.1,0,0,-0.75,0,0,-1,0,0,0,0,0,-1,0,0,0,0,0,0,-0.5,0,0,0,-1,-0.75,0,-0.75,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,0,-0.75,-1,-1,0,-1,0.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.75,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0.75,0,0,0,0.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.75,0,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,1,0,0,0
0,0,0,0.5,0,0,0,0,0,0,1,0,0.5,0,1,0.5,0,0,0.5,0,0,0,1,0,0,-0.5,0,0.5,0.5,0,0,0,0,0,0,0,0.5,0,-0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0,-0.5,0,0,1,0,0,0,0,0.5,0,0,0,0,0,-0.5,0,0,0,0,0,0,0.5,1,1,0,0,0,0,0.5,0,0,0.75,0,0,0,0,0.5,0,0,0,0,0,0,1,0,0,0.5,0,1,0,0,0,0,1,0,1,0,1,0.75,-0.75,1,0,0,0,0,0,0,0,0,1,0,0,0,0.75,0,0,0,0,0,0,0.75,0,0,0,0,0,0,0.75,0,0,0,0,0,0,0,0,0,0,0.75,0,0,-0.5,0,0,0,0,1,0,0.75,0
3.997029,0,0,15.11203,0.193247,0.128831,0,0,0,2.072393,4.254097,0,2.449116,1.499712,2.449116,2.449116,1.906203,0.000000,1.611315,2.072393,0.000000,0.000000,0.257663,0.000000,1.811615,1.365577,0.000000,3.271366,2.870981,0.322078,0.000000,0.000000,0.549613,2.137017,3.376691,0.000000,0.671748,0.000000,1.365577,3.449773,7.632488,0.000000,0.322078,0.000000,2.067047,0.000000,0.000000,2.241690,0.000000,0.000000,0.000000,3.631795,0.000000,0.000000,0.000000,0.000000,1.499712,0.000000,0.000000,0.000000,1.572818,3.106712,1.365577,3.291860,0.000000,1.635511,0.000000,0.000000,0.000000,1.482540,1.481560,0.000000,0.000000,0.000000,2.072393,2.072393,1.365577,2.072393,0.000000,0.000000,0.000000,5.383412,3.256608,2.702472,3.433139,2.284093,2.081799,0.000000,0.000000,2.640086,0.374914,0.000000,0.000000,2.727631,0.000000,0.000000,0.000000,3.032466,3.672785,6.283510,1.572818,0.000000,0.000000,0.000000,0.000000,4.674753,0.000000,0.000000,3.017950,0.000000,3.918172,3.328816,1.380335,2.640086,0.000000,0.257663,0.000000,2.370498,3.577950,1.603905,2.449116,1.365577,4.133868,0.000000,3.460976,4.116672,0.000000,0.000000,0.000000,0.000000,0.000000,2.398132,0.000000,0.000000,0.000000,1.275975,0.000000,0.000000,4.754218,0.000000,0.000000,0.000000,2.445244,1.629931,0.000000,2.137017,2.179473,0.000000,0.000000,2.343962,2.072393,0.000000,0.000000,0.000000,2.175766,0.000000,0.000000,0.454538,0.000000,0.000000,2.684821,0.000000,1.380686,1.365577,1.655777,0.128831,2.137017,1.590308,2.410464,0.000000,4.972563,3.631795
12.05394,0,0,4.928647,0.01245,0.00830,0,0,0,2.32365,12.83402,0,6.74689,3.45643,6.74689,6.74689,2.93776,0.00000,2.56846,2.32365,0.00000,0.00000,0.01660,0.00000,3.29046,1.39419,0.00000,9.19917,7.78838,0.02075,0.00000,0.00000,0.04564,5.24066,9.29876,0.00000,0.05394,0.00000,1.39419,8.48963,31.91286,0.00000,0.02075,0.00000,2.33195,0.00000,0.00000,5.24066,0.00000,0.00000,0.00000,8.95851,0.00000,0.00000,0.00000,0.00000,3.45643,0.00000,0.00000,0.00000,2.54772,6.31950,1.39419,9.34855,0.00000,3.11203,0.00000,0.00000,0.00000,3.07884,3.09544,0.00000,0.00000,0.00000,2.32365,2.32365,1.39419,2.32365,0.00000,0.00000,0.00000,18.26971,6.84647,4.90456,8.11618,5.65975,2.36929,0.00000,0.00000,3.71784,0.03320,0.00000,0.00000,6.63900,0.00000,0.00000,0.00000,6.26556,9.33195,24.92946,2.54772,0.00000,0.00000,0.00000,0.00000,17.02905,0.00000,0.00000,6.27386,0.00000,12.95436,8.66805,2.69295,3.71784,0.00000,0.01660,0.00000,6.85062,10.65560,2.95021,6.74689,1.39419,13.17842,0.00000,7.09544,12.69295,0.00000,0.00000,0.00000,0.00000,0.00000,5.49793,0.00000,0.00000,0.00000,0.11618,0.00000,0.00000,14.14938,0.00000,0.00000,0.00000,6.87137,3.44813,0.00000,5.24066,6.17012,0.00000,0.00000,6.81328,2.32365,0.00000,0.00000,0.00000,2.40664,0.00000,0.00000,0.04149,0.00000,0.00000,6.00830,0.00000,0.12033,1.39419,2.99170,0.00830,5.24066,3.42739,6.86307,0.00000,15.58921,8.95851
